ID,Produto,Grupo,Risk Indicator,Rank
ESC1292,Escavadeira,Demais,0.6140205689618525,913.0
ESC1293,Escavadeira,Demais,0.5950487855035989,1402.0
ESC1294,Escavadeira,Demais,0.5085201250622751,3766.0
ESC1296,Escavadeira,Demais,0.534028478336632,3175.0
ESC1298,Escavadeira,Demais,0.6002501352511151,1257.0
ESC1299,Escavadeira,Demais,0.6962752923622703,336.0
ESC13,Escavadeira,Demais,0.5949639723241027,1411.0
ESC130,Escavadeira,Demais,0.507946297544162,3841.0
ESC1301,Escavadeira,Demais,0.5545816719665422,2361.0
ESC1302,Escavadeira,Demais,0.5539212404599745,2393.0
ESC1304,Escavadeira,Demais,0.5557810764411366,2279.0
ESC1305,Escavadeira,Demais,0.5643826597792484,1940.0
ESC1306,Escavadeira,Demais,0.6103857475359329,981.0
ESC1307,Escavadeira,Demais,0.6512626974092433,646.0
ESC1308,Escavadeira,Demais,0.5086159719528591,3749.0
ESC1309,Escavadeira,Demais,0.5472669950941529,2593.0
ESC131,Escavadeira,Demais,0.5094407782749808,3701.0
ESC1310,Escavadeira,Demais,0.609983356671955,990.0
ESC1311,Escavadeira,Demais,0.6109734956415622,968.0
ESC1312,Escavadeira,Demais,0.5476808833101041,2548.0
ESC1313,Escavadeira,Demais,0.6032695792318843,1197.0
ESC1315,Escavadeira,Demais,0.5485162728682154,2514.0
ESC1316,Escavadeira,Demais,0.546692212255186,2682.0
ESC1318,Escavadeira,Demais,0.594849793568945,1416.0
ESC1319,Escavadeira,Demais,0.5947087361091068,1425.0
ESC132,Escavadeira,Demais,0.5084373374494944,3777.0
ESC1320,Escavadeira,Demais,0.5261011475643524,3388.0
ESC1321,Escavadeira,Demais,0.5909429894194036,1558.0
ESC1322,Escavadeira,Demais,0.5082407428397664,3808.0
ESC1323,Escavadeira,Demais,0.5549641166556871,2329.0
ESC1324,Escavadeira,Demais,0.5927412457224723,1503.0
ESC1325,Escavadeira,Demais,0.5476720082363451,2550.0
ESC1326,Escavadeira,Demais,0.5346407108735034,3152.0
ESC1327,Escavadeira,Demais,0.6953917878111109,357.0
ESC1328,Escavadeira,Demais,0.589913797236044,1588.0
ESC1329,Escavadeira,Demais,0.5476477064253005,2553.0
ESC133,Escavadeira,Demais,0.5071414311302903,3890.0
ESC1330,Escavadeira,Demais,0.5442122950028854,2916.0
ESC1331,Escavadeira,Demais,0.6951619606314902,368.0
ESC1332,Escavadeira,Demais,0.6024939936116616,1213.0
ESC1333,Escavadeira,Demais,0.7128957629046453,273.0
ESC1334,Escavadeira,Demais,0.6507403462721814,652.0
ESC1335,Escavadeira,Demais,0.647459077763806,697.0
ESC1336,Escavadeira,Demais,0.5259775141529504,3394.0
ESC1339,Escavadeira,Demais,0.6030132954117844,1203.0
ESC134,Escavadeira,Demais,0.5536292619230604,2415.0
ESC1341,Escavadeira,Demais,0.5960439600131213,1363.0
ESC1342,Escavadeira,Demais,0.6893780407966676,430.0
ESC1342,Escavadeira,RT,0.6893780407966676,430.0
ESC1343,Escavadeira,Demais,0.5472291102449867,2596.0
ESC1344,Escavadeira,Demais,0.508866711759236,3721.0
